Date : 2024-05-20 20:04:18
Directory : d:\program\cpp_program\SoftRenderer_v2.0
Total : 84 files,  49988 codes, 10821 comments, 7341 blanks, all 68150 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CompilerIdC\CMakeCCompilerId.c                        | C           |        682 |         61 |        153 |        896 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\CMakeConfigureLog.yaml                                       | YAML        |        601 |          4 |         28 |        633 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\CMakeDirectoryInformation.cmake                              | CMake       |         12 |          0 |          5 |         17 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\Makefile.cmake                                               | CMake       |         48 |          0 |          6 |         54 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\DependInfo.cmake                            | CMake       |         43 |          0 |          7 |         50 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\cmake_clean.cmake                           | CMake       |         64 |          0 |          2 |         66 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\compiler_depend.ts                          | TypeScript  |          2 |          0 |          1 |          3 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\Makefile                                                                | Makefile    |        555 |        125 |        203 |        883 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\cmake_install.cmake                                                     | CMake       |         42 |          0 |          8 |         50 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\compile_commands.json                                                   | JSON        |        164 |          0 |          0 |        164 |
